Time (ms),Velocity (m/s),Altitude (m),Pitch (degree),Yaw (degree),Extension Level,Motor Burning,Acceleration (m/s^2)
4990,100.0499999999966,624.6247499999828,1,1,2,False,-10
4995,99.9999999999966,625.1249999999827,1,1,1,False,-10
5000,99.9499999999966,625.6249999999827,1,1,1,False,-10
5005,99.89999999999661,626.1247499999827,1,1,1,False,-10
5010,99.84999999999661,626.6242499999827,1,1,1,False,-10
5015,99.79999999999661,627.1234999999826,1,1,1,False,-10
5020,99.74999999999662,627.6224999999827,1,1,1,False,-10
5025,99.69999999999662,628.1212499999826,1,1,1,False,-10
5030,99.64999999999662,628.6197499999827,1,1,1,False,-10
5035,99.59999999999663,629.1179999999827,1,1,1,False,-10
5040,99.54999999999663,629.6159999999826,1,1,1,False,-10
5045,99.49999999999663,630.1137499999826,1,1,1,False,-10
5050,99.44999999999663,630.6112499999825,1,1,1,False,-10
5055,99.39999999999664,631.1084999999825,1,1,1,False,-10
5060,99.34999999999664,631.6054999999825,1,1,1,False,-10
5065,99.29999999999664,632.1022499999825,1,1,1,False,-10
5070,99.24999999999665,632.5987499999825,1,1,1,False,-10
5075,99.19999999999665,633.0949999999825,1,1,1,False,-10
5080,99.14999999999665,633.5909999999825,1,1,1,False,-10
5085,99.09999999999665,634.0867499999824,1,1,1,False,-10
5090,99.04999999999666,634.5822499999824,1,1,1,False,-10
5095,98.99999999999666,635.0774999999824,1,1,1,False,-10
5100,98.94999999999666,635.5724999999824,1,1,1,False,-10
5105,98.89999999999667,636.0672499999823,1,1,1,False,-10
5110,98.84999999999667,636.5617499999823,1,1,1,False,-10
5115,98.79999999999667,637.0559999999823,1,1,1,False,-10
5120,98.74999999999667,637.5499999999823,1,1,1,False,-10
5125,98.69999999999668,638.0437499999823,1,1,1,False,-10
5130,98.64999999999668,638.5372499999824,1,1,1,False,-10
5135,98.59999999999668,639.0304999999823,1,1,1,False,-10
5140,98.54999999999669,639.5234999999823,1,1,1,False,-10
5145,98.49999999999669,640.0162499999823,1,1,1,False,-10
5150,98.44999999999669,640.5087499999822,1,1,1,False,-10
5155,98.3999999999967,641.0009999999822,1,1,1,False,-10
5160,98.3499999999967,641.4929999999822,1,1,1,False,-10
